,Mood_Swings_High,Mood_Swings_Low,Mood_Swings_Medium
144,TRUE,FALSE,FALSE
145,FALSE,TRUE,FALSE
146,FALSE,FALSE,TRUE
147,FALSE,FALSE,TRUE
148,FALSE,TRUE,FALSE
149,FALSE,TRUE,FALSE
150,FALSE,TRUE,FALSE
151,FALSE,TRUE,FALSE
152,TRUE,FALSE,FALSE
153,TRUE,FALSE,FALSE
154,TRUE,FALSE,FALSE
155,FALSE,TRUE,FALSE
156,FALSE,TRUE,FALSE
157,FALSE,TRUE,FALSE
158,TRUE,FALSE,FALSE
159,FALSE,FALSE,TRUE
160,FALSE,FALSE,TRUE
161,TRUE,FALSE,FALSE
162,FALSE,FALSE,TRUE
163,TRUE,FALSE,FALSE
164,FALSE,TRUE,FALSE
165,FALSE,FALSE,TRUE
166,FALSE,FALSE,TRUE
167,FALSE,TRUE,FALSE
168,FALSE,FALSE,TRUE
169,FALSE,TRUE,FALSE
170,FALSE,FALSE,TRUE
171,FALSE,TRUE,FALSE
172,FALSE,FALSE,TRUE
173,FALSE,FALSE,TRUE
174,FALSE,TRUE,FALSE
175,FALSE,FALSE,TRUE
176,FALSE,TRUE,FALSE
177,FALSE,TRUE,FALSE
178,FALSE,FALSE,TRUE
179,TRUE,FALSE,FALSE
180,TRUE,FALSE,FALSE
181,TRUE,FALSE,FALSE
182,FALSE,TRUE,FALSE
183,TRUE,FALSE,FALSE
184,FALSE,TRUE,FALSE
185,FALSE,TRUE,FALSE
186,FALSE,TRUE,FALSE
187,FALSE,TRUE,FALSE
188,FALSE,TRUE,FALSE
189,FALSE,FALSE,TRUE
190,FALSE,FALSE,TRUE
191,TRUE,FALSE,FALSE
192,FALSE,TRUE,FALSE
193,FALSE,TRUE,FALSE
194,FALSE,TRUE,FALSE
195,TRUE,FALSE,FALSE
196,FALSE,TRUE,FALSE
197,TRUE,FALSE,FALSE
198,FALSE,TRUE,FALSE
199,FALSE,TRUE,FALSE
200,FALSE,FALSE,TRUE
201,FALSE,FALSE,TRUE
202,FALSE,TRUE,FALSE
203,FALSE,FALSE,TRUE
204,FALSE,FALSE,TRUE
205,FALSE,FALSE,TRUE
206,FALSE,FALSE,TRUE
207,FALSE,FALSE,TRUE
208,FALSE,FALSE,TRUE
209,TRUE,FALSE,FALSE
210,FALSE,FALSE,TRUE
211,TRUE,FALSE,FALSE
212,FALSE,TRUE,FALSE
213,TRUE,FALSE,FALSE
214,FALSE,TRUE,FALSE
215,FALSE,TRUE,FALSE
216,FALSE,TRUE,FALSE
217,TRUE,FALSE,FALSE
218,FALSE,TRUE,FALSE
219,TRUE,FALSE,FALSE
220,FALSE,FALSE,TRUE
221,FALSE,FALSE,TRUE
222,TRUE,FALSE,FALSE
223,TRUE,FALSE,FALSE
224,TRUE,FALSE,FALSE
225,FALSE,FALSE,TRUE
226,TRUE,FALSE,FALSE
227,FALSE,FALSE,TRUE
228,FALSE,FALSE,TRUE
229,FALSE,FALSE,TRUE
230,FALSE,FALSE,TRUE
231,FALSE,FALSE,TRUE
232,TRUE,FALSE,FALSE
233,FALSE,FALSE,TRUE
234,FALSE,FALSE,TRUE
235,FALSE,FALSE,TRUE
236,FALSE,TRUE,FALSE
237,TRUE,FALSE,FALSE
238,FALSE,TRUE,FALSE
239,FALSE,FALSE,TRUE
240,TRUE,FALSE,FALSE
241,TRUE,FALSE,FALSE
242,FALSE,FALSE,TRUE
243,TRUE,FALSE,FALSE
244,FALSE,TRUE,FALSE
245,FALSE,TRUE,FALSE
246,FALSE,FALSE,TRUE
247,FALSE,TRUE,FALSE
248,FALSE,TRUE,FALSE
249,FALSE,FALSE,TRUE
250,FALSE,TRUE,FALSE
251,TRUE,FALSE,FALSE
252,TRUE,FALSE,FALSE
253,FALSE,FALSE,TRUE
254,TRUE,FALSE,FALSE
255,FALSE,TRUE,FALSE
256,TRUE,FALSE,FALSE
257,FALSE,TRUE,FALSE
258,FALSE,TRUE,FALSE
259,TRUE,FALSE,FALSE
260,FALSE,FALSE,TRUE
261,FALSE,FALSE,TRUE
262,TRUE,FALSE,FALSE
263,TRUE,FALSE,FALSE
264,FALSE,FALSE,TRUE
265,FALSE,TRUE,FALSE
266,FALSE,FALSE,TRUE
267,FALSE,FALSE,TRUE
268,FALSE,TRUE,FALSE
269,TRUE,FALSE,FALSE
270,TRUE,FALSE,FALSE
271,FALSE,FALSE,TRUE
272,FALSE,TRUE,FALSE
273,TRUE,FALSE,FALSE
274,FALSE,TRUE,FALSE
275,FALSE,TRUE,FALSE
276,FALSE,TRUE,FALSE
277,FALSE,FALSE,TRUE
278,FALSE,TRUE,FALSE
279,FALSE,FALSE,TRUE
280,FALSE,FALSE,TRUE
281,FALSE,TRUE,FALSE
282,FALSE,FALSE,TRUE
283,TRUE,FALSE,FALSE
284,TRUE,FALSE,FALSE
285,FALSE,TRUE,FALSE
286,FALSE,FALSE,TRUE
287,TRUE,FALSE,FALSE
288,FALSE,FALSE,TRUE
289,FALSE,TRUE,FALSE
290,TRUE,FALSE,FALSE
291,FALSE,FALSE,TRUE
292,TRUE,FALSE,FALSE
293,FALSE,TRUE,FALSE
294,FALSE,FALSE,TRUE
295,FALSE,FALSE,TRUE
296,TRUE,FALSE,FALSE
297,FALSE,TRUE,FALSE
298,TRUE,FALSE,FALSE
299,FALSE,FALSE,TRUE
300,FALSE,FALSE,TRUE
301,FALSE,TRUE,FALSE
302,FALSE,TRUE,FALSE
303,FALSE,FALSE,TRUE
304,FALSE,TRUE,FALSE
305,FALSE,TRUE,FALSE
306,FALSE,FALSE,TRUE
307,FALSE,FALSE,TRUE
308,TRUE,FALSE,FALSE
309,TRUE,FALSE,FALSE
310,TRUE,FALSE,FALSE
311,FALSE,TRUE,FALSE
312,FALSE,TRUE,FALSE
313,FALSE,TRUE,FALSE
314,TRUE,FALSE,FALSE
315,FALSE,TRUE,FALSE
316,TRUE,FALSE,FALSE
317,TRUE,FALSE,FALSE
318,FALSE,FALSE,TRUE
319,FALSE,TRUE,FALSE
320,TRUE,FALSE,FALSE
321,FALSE,TRUE,FALSE
322,FALSE,TRUE,FALSE
323,FALSE,TRUE,FALSE
324,FALSE,FALSE,TRUE
325,FALSE,FALSE,TRUE
326,TRUE,FALSE,FALSE
327,FALSE,TRUE,FALSE
328,FALSE,TRUE,FALSE
329,FALSE,TRUE,FALSE
330,TRUE,FALSE,FALSE
331,FALSE,FALSE,TRUE
332,TRUE,FALSE,FALSE
333,FALSE,TRUE,FALSE
334,FALSE,TRUE,FALSE
335,FALSE,FALSE,TRUE
336,FALSE,FALSE,TRUE
337,FALSE,TRUE,FALSE
338,FALSE,FALSE,TRUE
339,TRUE,FALSE,FALSE
340,TRUE,FALSE,FALSE
341,FALSE,TRUE,FALSE
342,FALSE,TRUE,FALSE
343,TRUE,FALSE,FALSE
344,FALSE,FALSE,TRUE
345,FALSE,FALSE,TRUE
346,TRUE,FALSE,FALSE
347,FALSE,TRUE,FALSE
348,FALSE,TRUE,FALSE
349,TRUE,FALSE,FALSE
350,FALSE,FALSE,TRUE
351,FALSE,TRUE,FALSE
352,TRUE,FALSE,FALSE
353,FALSE,FALSE,TRUE
354,FALSE,FALSE,TRUE
355,FALSE,FALSE,TRUE
356,FALSE,FALSE,TRUE
357,TRUE,FALSE,FALSE
358,TRUE,FALSE,FALSE
359,FALSE,TRUE,FALSE
360,FALSE,TRUE,FALSE
361,FALSE,FALSE,TRUE
362,TRUE,FALSE,FALSE
363,TRUE,FALSE,FALSE
364,FALSE,TRUE,FALSE
365,TRUE,FALSE,FALSE
366,FALSE,TRUE,FALSE
367,TRUE,FALSE,FALSE
368,FALSE,FALSE,TRUE
369,FALSE,FALSE,TRUE
370,FALSE,TRUE,FALSE
371,FALSE,FALSE,TRUE
372,FALSE,TRUE,FALSE
373,FALSE,FALSE,TRUE
374,TRUE,FALSE,FALSE
375,FALSE,FALSE,TRUE
376,FALSE,FALSE,TRUE
377,TRUE,FALSE,FALSE
378,TRUE,FALSE,FALSE
379,TRUE,FALSE,FALSE
380,FALSE,TRUE,FALSE
381,TRUE,FALSE,FALSE
382,TRUE,FALSE,FALSE
383,TRUE,FALSE,FALSE
384,FALSE,TRUE,FALSE
385,FALSE,FALSE,TRUE
386,TRUE,FALSE,FALSE
387,TRUE,FALSE,FALSE
388,FALSE,FALSE,TRUE
389,FALSE,FALSE,TRUE
390,TRUE,FALSE,FALSE
391,FALSE,FALSE,TRUE
392,FALSE,FALSE,TRUE
393,FALSE,TRUE,FALSE
394,TRUE,FALSE,FALSE
395,TRUE,FALSE,FALSE
396,FALSE,TRUE,FALSE
397,FALSE,TRUE,FALSE
398,FALSE,TRUE,FALSE
399,FALSE,FALSE,TRUE
400,FALSE,TRUE,FALSE
401,FALSE,TRUE,FALSE
402,TRUE,FALSE,FALSE
403,FALSE,FALSE,TRUE
404,FALSE,TRUE,FALSE
405,FALSE,TRUE,FALSE
406,TRUE,FALSE,FALSE
407,FALSE,FALSE,TRUE
408,FALSE,TRUE,FALSE
409,FALSE,FALSE,TRUE
410,TRUE,FALSE,FALSE
411,FALSE,FALSE,TRUE
412,FALSE,FALSE,TRUE
413,TRUE,FALSE,FALSE
414,FALSE,TRUE,FALSE
415,TRUE,FALSE,FALSE
416,TRUE,FALSE,FALSE
417,FALSE,TRUE,FALSE
418,FALSE,TRUE,FALSE
419,FALSE,TRUE,FALSE
420,FALSE,FALSE,TRUE
421,FALSE,FALSE,TRUE
422,TRUE,FALSE,FALSE
423,FALSE,FALSE,TRUE
424,FALSE,FALSE,TRUE
425,FALSE,TRUE,FALSE
426,FALSE,FALSE,TRUE
427,FALSE,FALSE,TRUE
428,FALSE,TRUE,FALSE
429,TRUE,FALSE,FALSE
430,FALSE,FALSE,TRUE
431,FALSE,FALSE,TRUE
432,TRUE,FALSE,FALSE
433,TRUE,FALSE,FALSE
434,FALSE,FALSE,TRUE
435,FALSE,FALSE,TRUE
436,TRUE,FALSE,FALSE
437,FALSE,FALSE,TRUE
438,FALSE,FALSE,TRUE
439,FALSE,FALSE,TRUE
440,FALSE,FALSE,TRUE
441,FALSE,FALSE,TRUE
442,FALSE,TRUE,FALSE
443,FALSE,FALSE,TRUE
444,FALSE,FALSE,TRUE
445,FALSE,TRUE,FALSE
446,TRUE,FALSE,FALSE
447,TRUE,FALSE,FALSE
448,TRUE,FALSE,FALSE
449,FALSE,FALSE,TRUE
450,FALSE,TRUE,FALSE
451,FALSE,FALSE,TRUE
452,FALSE,FALSE,TRUE
453,FALSE,FALSE,TRUE
454,FALSE,FALSE,TRUE
455,FALSE,TRUE,FALSE
456,FALSE,FALSE,TRUE
457,FALSE,TRUE,FALSE
458,TRUE,FALSE,FALSE
459,FALSE,TRUE,FALSE
460,FALSE,TRUE,FALSE
461,FALSE,FALSE,TRUE
462,TRUE,FALSE,FALSE
463,FALSE,FALSE,TRUE
464,FALSE,FALSE,TRUE
465,TRUE,FALSE,FALSE
466,TRUE,FALSE,FALSE
467,FALSE,TRUE,FALSE
468,FALSE,FALSE,TRUE
469,FALSE,FALSE,TRUE
470,FALSE,TRUE,FALSE
471,TRUE,FALSE,FALSE
472,TRUE,FALSE,FALSE
473,FALSE,FALSE,TRUE
474,FALSE,TRUE,FALSE
475,FALSE,FALSE,TRUE
476,TRUE,FALSE,FALSE
477,FALSE,TRUE,FALSE
478,TRUE,FALSE,FALSE
479,FALSE,FALSE,TRUE
480,FALSE,TRUE,FALSE
481,TRUE,FALSE,FALSE
482,FALSE,FALSE,TRUE
483,FALSE,TRUE,FALSE
484,FALSE,TRUE,FALSE
485,FALSE,FALSE,TRUE
486,TRUE,FALSE,FALSE
487,FALSE,TRUE,FALSE
488,FALSE,TRUE,FALSE
489,FALSE,TRUE,FALSE
490,TRUE,FALSE,FALSE
491,FALSE,FALSE,TRUE
492,FALSE,FALSE,TRUE
493,FALSE,TRUE,FALSE
494,FALSE,FALSE,TRUE
495,TRUE,FALSE,FALSE
496,FALSE,FALSE,TRUE
497,FALSE,TRUE,FALSE
498,TRUE,FALSE,FALSE
499,TRUE,FALSE,FALSE
500,FALSE,FALSE,TRUE
501,FALSE,FALSE,TRUE
502,FALSE,TRUE,FALSE
503,TRUE,FALSE,FALSE
504,FALSE,FALSE,TRUE
505,TRUE,FALSE,FALSE
506,FALSE,TRUE,FALSE
507,TRUE,FALSE,FALSE
508,FALSE,FALSE,TRUE
509,FALSE,TRUE,FALSE
510,FALSE,FALSE,TRUE
511,FALSE,FALSE,TRUE
512,FALSE,FALSE,TRUE
513,FALSE,TRUE,FALSE
514,TRUE,FALSE,FALSE
515,TRUE,FALSE,FALSE
516,FALSE,FALSE,TRUE
517,FALSE,FALSE,TRUE
518,FALSE,TRUE,FALSE
519,TRUE,FALSE,FALSE
520,FALSE,TRUE,FALSE
521,FALSE,FALSE,TRUE
522,FALSE,TRUE,FALSE
523,FALSE,TRUE,FALSE
524,FALSE,TRUE,FALSE
525,FALSE,FALSE,TRUE
526,FALSE,FALSE,TRUE
527,FALSE,FALSE,TRUE
528,FALSE,FALSE,TRUE
529,FALSE,FALSE,TRUE
530,FALSE,TRUE,FALSE
531,FALSE,FALSE,TRUE
532,TRUE,FALSE,FALSE
533,FALSE,TRUE,FALSE
534,FALSE,TRUE,FALSE
535,TRUE,FALSE,FALSE
536,TRUE,FALSE,FALSE
537,FALSE,TRUE,FALSE
538,FALSE,FALSE,TRUE
539,FALSE,TRUE,FALSE
540,FALSE,TRUE,FALSE
541,FALSE,TRUE,FALSE
542,FALSE,TRUE,FALSE
543,FALSE,FALSE,TRUE
544,FALSE,TRUE,FALSE
545,TRUE,FALSE,FALSE
546,TRUE,FALSE,FALSE
547,FALSE,TRUE,FALSE
548,TRUE,FALSE,FALSE
549,FALSE,FALSE,TRUE
550,FALSE,TRUE,FALSE
551,FALSE,FALSE,TRUE
552,FALSE,FALSE,TRUE
553,FALSE,FALSE,TRUE
554,FALSE,TRUE,FALSE
555,FALSE,FALSE,TRUE
556,FALSE,TRUE,FALSE
557,FALSE,TRUE,FALSE
558,FALSE,TRUE,FALSE
559,FALSE,TRUE,FALSE
560,FALSE,TRUE,FALSE
561,FALSE,FALSE,TRUE
562,FALSE,TRUE,FALSE
563,FALSE,FALSE,TRUE
564,TRUE,FALSE,FALSE
565,FALSE,TRUE,FALSE
566,FALSE,FALSE,TRUE
567,FALSE,TRUE,FALSE
568,FALSE,TRUE,FALSE
569,FALSE,FALSE,TRUE
570,FALSE,FALSE,TRUE
571,FALSE,FALSE,TRUE
572,FALSE,FALSE,TRUE
573,FALSE,FALSE,TRUE
574,FALSE,FALSE,TRUE
575,TRUE,FALSE,FALSE
576,FALSE,FALSE,TRUE
577,TRUE,FALSE,FALSE
578,FALSE,TRUE,FALSE
579,FALSE,FALSE,TRUE
580,FALSE,FALSE,TRUE
581,TRUE,FALSE,FALSE
582,TRUE,FALSE,FALSE
583,FALSE,FALSE,TRUE
584,FALSE,FALSE,TRUE
585,FALSE,FALSE,TRUE
586,FALSE,TRUE,FALSE
587,FALSE,TRUE,FALSE
588,TRUE,FALSE,FALSE
589,TRUE,FALSE,FALSE
590,TRUE,FALSE,FALSE
591,FALSE,TRUE,FALSE
592,FALSE,FALSE,TRUE
593,TRUE,FALSE,FALSE
594,TRUE,FALSE,FALSE
595,FALSE,FALSE,TRUE
596,FALSE,FALSE,TRUE
597,FALSE,TRUE,FALSE
598,TRUE,FALSE,FALSE
599,TRUE,FALSE,FALSE
600,TRUE,FALSE,FALSE
601,FALSE,TRUE,FALSE
602,FALSE,FALSE,TRUE
603,FALSE,FALSE,TRUE
604,TRUE,FALSE,FALSE
605,FALSE,FALSE,TRUE
606,FALSE,FALSE,TRUE
607,FALSE,FALSE,TRUE
608,TRUE,FALSE,FALSE
609,FALSE,FALSE,TRUE
610,FALSE,FALSE,TRUE
611,TRUE,FALSE,FALSE
612,FALSE,FALSE,TRUE
613,FALSE,FALSE,TRUE
614,TRUE,FALSE,FALSE
615,TRUE,FALSE,FALSE
616,TRUE,FALSE,FALSE
617,FALSE,FALSE,TRUE
618,FALSE,FALSE,TRUE
619,FALSE,FALSE,TRUE
620,FALSE,FALSE,TRUE
621,TRUE,FALSE,FALSE
622,FALSE,TRUE,FALSE
623,FALSE,FALSE,TRUE
624,TRUE,FALSE,FALSE
625,FALSE,TRUE,FALSE
626,TRUE,FALSE,FALSE
627,FALSE,TRUE,FALSE
628,FALSE,TRUE,FALSE
629,FALSE,TRUE,FALSE
630,TRUE,FALSE,FALSE
631,FALSE,TRUE,FALSE
632,FALSE,TRUE,FALSE
633,TRUE,FALSE,FALSE
634,TRUE,FALSE,FALSE
635,FALSE,FALSE,TRUE
636,FALSE,FALSE,TRUE
637,FALSE,FALSE,TRUE
638,TRUE,FALSE,FALSE
639,TRUE,FALSE,FALSE
640,FALSE,TRUE,FALSE
641,FALSE,FALSE,TRUE
642,FALSE,TRUE,FALSE
643,TRUE,FALSE,FALSE
644,TRUE,FALSE,FALSE
645,FALSE,TRUE,FALSE
646,FALSE,FALSE,TRUE
647,FALSE,TRUE,FALSE
648,FALSE,FALSE,TRUE
649,FALSE,FALSE,TRUE
650,FALSE,FALSE,TRUE
651,FALSE,FALSE,TRUE
652,FALSE,FALSE,TRUE
653,FALSE,TRUE,FALSE
654,FALSE,FALSE,TRUE
655,FALSE,TRUE,FALSE
656,FALSE,FALSE,TRUE
657,FALSE,TRUE,FALSE
658,FALSE,TRUE,FALSE
659,TRUE,FALSE,FALSE
660,TRUE,FALSE,FALSE
661,TRUE,FALSE,FALSE
662,FALSE,FALSE,TRUE
663,FALSE,FALSE,TRUE
664,FALSE,FALSE,TRUE
665,FALSE,TRUE,FALSE
666,TRUE,FALSE,FALSE
667,TRUE,FALSE,FALSE
668,FALSE,FALSE,TRUE
669,FALSE,FALSE,TRUE
670,FALSE,FALSE,TRUE
671,FALSE,TRUE,FALSE
672,FALSE,TRUE,FALSE
673,TRUE,FALSE,FALSE
674,FALSE,FALSE,TRUE
675,TRUE,FALSE,FALSE
676,FALSE,FALSE,TRUE
677,FALSE,FALSE,TRUE
678,FALSE,FALSE,TRUE
679,FALSE,FALSE,TRUE
680,FALSE,FALSE,TRUE
681,FALSE,TRUE,FALSE
682,FALSE,TRUE,FALSE
683,FALSE,TRUE,FALSE
684,FALSE,FALSE,TRUE
685,FALSE,TRUE,FALSE
686,FALSE,TRUE,FALSE
687,FALSE,TRUE,FALSE
688,TRUE,FALSE,FALSE
689,FALSE,TRUE,FALSE
690,FALSE,TRUE,FALSE
691,FALSE,TRUE,FALSE
692,FALSE,FALSE,TRUE
693,FALSE,FALSE,TRUE
694,TRUE,FALSE,FALSE
695,FALSE,TRUE,FALSE
696,FALSE,FALSE,TRUE
697,FALSE,TRUE,FALSE
698,FALSE,FALSE,TRUE
699,TRUE,FALSE,FALSE
700,FALSE,TRUE,FALSE
701,FALSE,TRUE,FALSE
702,FALSE,FALSE,TRUE
703,FALSE,FALSE,TRUE
704,FALSE,TRUE,FALSE
705,FALSE,FALSE,TRUE
706,TRUE,FALSE,FALSE
707,FALSE,FALSE,TRUE
708,TRUE,FALSE,FALSE
709,FALSE,TRUE,FALSE
710,FALSE,FALSE,TRUE
711,TRUE,FALSE,FALSE
712,FALSE,TRUE,FALSE
713,FALSE,FALSE,TRUE
714,TRUE,FALSE,FALSE
715,TRUE,FALSE,FALSE
716,TRUE,FALSE,FALSE
717,TRUE,FALSE,FALSE
718,FALSE,FALSE,TRUE
719,FALSE,FALSE,TRUE
720,FALSE,FALSE,TRUE
721,TRUE,FALSE,FALSE
722,TRUE,FALSE,FALSE
723,TRUE,FALSE,FALSE
724,FALSE,TRUE,FALSE
725,TRUE,FALSE,FALSE
726,FALSE,TRUE,FALSE
727,FALSE,TRUE,FALSE
728,FALSE,TRUE,FALSE
729,FALSE,FALSE,TRUE
730,TRUE,FALSE,FALSE
731,FALSE,FALSE,TRUE
732,FALSE,FALSE,TRUE
733,TRUE,FALSE,FALSE
734,FALSE,TRUE,FALSE
735,TRUE,FALSE,FALSE
736,FALSE,FALSE,TRUE
737,FALSE,TRUE,FALSE
738,FALSE,FALSE,TRUE
739,FALSE,FALSE,TRUE
740,FALSE,FALSE,TRUE
741,FALSE,FALSE,TRUE
742,FALSE,FALSE,TRUE
743,TRUE,FALSE,FALSE
744,FALSE,FALSE,TRUE
745,FALSE,FALSE,TRUE
746,FALSE,FALSE,TRUE
747,FALSE,FALSE,TRUE
748,FALSE,TRUE,FALSE
749,FALSE,TRUE,FALSE
750,TRUE,FALSE,FALSE
751,TRUE,FALSE,FALSE
752,FALSE,TRUE,FALSE
753,TRUE,FALSE,FALSE
754,FALSE,TRUE,FALSE
755,TRUE,FALSE,FALSE
756,TRUE,FALSE,FALSE
757,FALSE,FALSE,TRUE
758,FALSE,FALSE,TRUE
759,TRUE,FALSE,FALSE
760,FALSE,FALSE,TRUE
761,TRUE,FALSE,FALSE
762,FALSE,TRUE,FALSE
763,FALSE,TRUE,FALSE
764,FALSE,TRUE,FALSE
765,FALSE,TRUE,FALSE
766,TRUE,FALSE,FALSE
767,FALSE,TRUE,FALSE
768,FALSE,TRUE,FALSE
769,FALSE,TRUE,FALSE
770,FALSE,FALSE,TRUE
771,FALSE,FALSE,TRUE
772,FALSE,TRUE,FALSE
773,FALSE,FALSE,TRUE
774,FALSE,FALSE,TRUE
775,FALSE,TRUE,FALSE
776,FALSE,FALSE,TRUE
777,TRUE,FALSE,FALSE
778,TRUE,FALSE,FALSE
779,FALSE,TRUE,FALSE
780,TRUE,FALSE,FALSE
781,TRUE,FALSE,FALSE
782,FALSE,FALSE,TRUE
783,TRUE,FALSE,FALSE
784,TRUE,FALSE,FALSE
785,TRUE,FALSE,FALSE
786,FALSE,TRUE,FALSE
787,FALSE,FALSE,TRUE
788,FALSE,TRUE,FALSE
789,TRUE,FALSE,FALSE
790,FALSE,TRUE,FALSE
791,FALSE,TRUE,FALSE
792,FALSE,TRUE,FALSE
793,FALSE,FALSE,TRUE
794,FALSE,FALSE,TRUE
795,FALSE,TRUE,FALSE
796,FALSE,TRUE,FALSE
797,FALSE,TRUE,FALSE
798,FALSE,TRUE,FALSE
799,FALSE,TRUE,FALSE
800,FALSE,TRUE,FALSE
801,FALSE,TRUE,FALSE
802,FALSE,FALSE,TRUE
803,TRUE,FALSE,FALSE
804,TRUE,FALSE,FALSE
805,FALSE,FALSE,TRUE
806,TRUE,FALSE,FALSE
807,TRUE,FALSE,FALSE
808,FALSE,FALSE,TRUE
809,FALSE,TRUE,FALSE
810,TRUE,FALSE,FALSE
811,FALSE,FALSE,TRUE
812,FALSE,FALSE,TRUE
813,FALSE,FALSE,TRUE
814,FALSE,FALSE,TRUE
815,FALSE,TRUE,FALSE
816,FALSE,TRUE,FALSE
817,TRUE,FALSE,FALSE
818,FALSE,TRUE,FALSE
